Reported Date,Total Dead and Missing,Location Coordinates
"February 25, 2023",1,"24.20642056, 23.290271"
"March 04, 2023",1,"24.94447643, 14.627779"
"March 04, 2023",1,"24.20642056, 23.290271"
"March 07, 2023",8,"21.95627, 24.25597"
"March 17, 2023",1,"27.04400604, 14.436574"
"March 26, 2023",2,"27.04400604, 14.436574"
"April 01, 2023",6,"27.48775812, 13.360607"
"April 03, 2023",2,"14.22490057, 65.555267"
"April 10, 2023",8,"27.54179645, 14.300551"
"April 19, 2023",1,"31.6488315, 25.052252"
"May 04, 2023",5,"24.92367718, 22.107087"
"May 07, 2023",8,"31.65071241, 20.011192"
"May 17, 2023",1,"31.6124278, 25.046548"
"May 30, 2023",1,"14.22490057, 65.555267"
"May 12, 2023",5,"33.07199003, 11.543673"
"July 13, 2023",2,"33.07199003, 11.543673"
"July 14, 2023",1,"32.80827441, 11.584487"
"July 15, 2023",2,"32.94655961, 11.532978"
"July 16, 2023",19,"32.80827441, 11.584487"
"July 17, 2023",8,"32.94655961, 11.532978"
"July 17, 2023",2,"32.80827441, 11.584487"
"July 18, 2023",3,"32.94655961, 11.532978"
"July 14, 2023",1,"33.31293223, 11.205154"
"April 29, 2023",2,"8.281919, 47.211799"
"May 27, 2023",1,"10.262252, 45.05155"
